txn_id,sourceTimestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
88212,28,10.2,1,10.2,NaN,10.2,10.2,10.2,NaN,0.0,NaN,NaN,10.2,0.0,NaN,NaN
88224,28,37.8,1,37.8,NaN,37.8,37.8,37.8,NaN,0.0,NaN,NaN,37.8,0.0,NaN,NaN
88478,28,48.85,1,48.85,NaN,48.85,48.85,48.85,NaN,0.0,NaN,NaN,48.85,0.0,NaN,NaN
88883,28,6.95,1,6.95,NaN,6.95,6.95,6.95,NaN,0.0,NaN,NaN,6.95,0.0,NaN,NaN
88962,28,20.75,1,20.75,NaN,20.75,20.75,20.75,NaN,0.0,NaN,NaN,20.75,0.0,NaN,NaN
88992,28,19.65,1,19.65,NaN,19.65,19.65,19.65,NaN,0.0,NaN,NaN,19.65,0.0,NaN,NaN
89027,28,54.1,1,54.1,NaN,54.1,54.1,54.1,NaN,0.0,NaN,NaN,54.1,0.0,NaN,NaN
89065,28,24.24,1,24.24,NaN,24.24,24.24,24.24,NaN,0.0,NaN,NaN,24.24,0.0,NaN,NaN
89150,28,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
89428,28,7.5,1,7.5,NaN,7.5,7.5,7.5,NaN,0.0,NaN,NaN,7.5,0.0,NaN,NaN
89544,28,788.38,1,788.38,NaN,788.38,788.38,788.38,NaN,0.0,NaN,NaN,788.38,0.0,NaN,NaN
90106,28,3.75,1,3.75,NaN,3.75,3.75,3.75,NaN,0.0,NaN,NaN,3.75,0.0,NaN,NaN
90153,28,435.0,1,435.0,NaN,435.0,435.0,435.0,NaN,0.0,NaN,NaN,435.0,0.0,NaN,NaN
